iter	Passed	Remaining
892	1712	205
893	1713	203
894	1715	201
895	1717	199
896	1719	197
897	1720	195
898	1726	193
899	1728	192
900	1729	190
901	1730	188
902	1732	186
903	1733	184
904	1734	182
905	1735	180
906	1738	178
907	1741	176
908	1742	174
909	1743	172
910	1745	170
911	1746	168
912	1747	166
913	1748	164
914	1749	162
915	1750	160
916	1751	158
917	1755	156
918	1756	154
919	1757	152
920	1758	150
921	1759	148
922	1760	146
923	1761	144
924	1762	142
925	1763	140
926	1764	138
927	1766	137
928	1770	135
929	1772	133
930	1773	131
931	1774	129
932	1775	127
933	1776	125
934	1778	123
935	1779	121
936	1780	119
937	1781	117
938	1787	116
939	1788	114
940	1790	112
941	1791	110
942	1792	108
943	1793	106
944	1794	104
945	1795	102
946	1796	100
947	1797	98
948	1799	96
949	1800	94
950	1801	92
951	1802	90
952	1804	88
953	1805	87
954	1806	85
955	1807	83
956	1808	81
957	1809	79
958	1810	77
959	1815	75
960	1817	73
961	1818	71
962	1819	69
963	1820	68
964	1821	66
965	1822	64
966	1824	62
967	1825	60
968	1826	58
969	1831	56
970	1832	54
971	1833	52
972	1834	50
973	1835	49
974	1836	47
975	1837	45
976	1838	43
977	1840	41
978	1841	39
979	1842	37
980	1844	35
981	1845	33
982	1846	31
983	1847	30
984	1848	28
985	1849	26
986	1850	24
987	1851	22
988	1853	20
989	1854	18
990	1855	16
991	1858	14
992	1861	13
993	1862	11
994	1863	9
995	1864	7
996	1865	5
997	1866	3
998	1867	1
999	1868	0
